"","phone_name","counts","X","电商报价","屏幕类型","出厂系统内核","CPU型号","机身颜色","解锁方式","触摸屏类型","主屏尺寸","主屏材质","主屏分辨率","屏幕像素密度","屏幕占比","屏幕技术","核心数","RAM容量","ROM容量","电池容量","电池充电","SIM卡类型","机身接口","摄像头总数","后置摄像头","前置摄像头","光圈","手机尺寸","手机重量","操作类型"
"1","AGM X2（鳄鱼纹皮版/全网通）",121,818,"￥3199","","XOS 2.0（基于Android 7.1）","高通 骁龙653（MSM8976 Pro）|手机性能排行","黑色，咖啡色|查看外观","后置指纹识别","电容屏，多点触控","5.5英寸|可单手打字|更多5.5英寸手机＞","AMOLED","1920x1080像素|1080P高清（击败|98.2%|手机）","401ppi","64.56%|（击败|81.37%|手机）","","八核","6GB|游戏运行良好","64GB/128GB|1.3万张照片|5461首歌曲","6000mAh|大电池","快速快充","","3.5mm耳机接口|USB接口","","双1200万像素|高清级像素|高清像素手机","1600万像素|高清级像素|高像素自拍手机","f/2.0","163.5x79x13.8mm","250g","物理按键"
"2","AGM X2（全网通）",150,808,"￥2699","","XOS 2.0（基于Android 7.1）","高通 骁龙653（MSM8976 Pro）|手机性能排行","黑色|查看外观","后置指纹识别","电容屏，多点触控","5.5英寸|可单手打字|更多5.5英寸手机＞","AMOLED","1920x1080像素|1080P高清（击败|98.2%|手机）","401ppi","64.56%|（击败|81.37%|手机）","","八核","6GB|游戏运行良好","64GB/128GB|1.3万张照片|5461首歌曲","6000mAh|大电池","快速快充","","3.5mm耳机接口|USB接口","","双1200万像素|高清级像素|高清像素手机","1600万像素|高清级像素|高像素自拍手机","f/2.0","163.5x79x13.8mm","250g","物理按键"
"3","AGM X3（6GB RAM/全网通）",2214,324,"￥3499","","Android 8.1","高通 骁龙845|手机性能排行","枪黑，钢琴黑|查看外观","后置指纹识别","电容屏，多点触控","6英寸|需双手打字|更多6英寸手机＞","TFT材质","2160x1080像素|1080P高清（击败|98.2%|手机）","402ppi","68.06%|（击败|86.49%|手机）","In-Cell全贴合技术|，第五代康宁大猩猩玻璃","八核","6GB|游戏运行良好","64GB|1.3万张照片|5461首歌曲","4100mAh|大电池","无线快充|快速快充","双卡|，|Nano SIM卡","USB Type-C接口","三摄像头（后双）","2400万像素+1200万像素|高清级像素|高清像素手机","2000万像素|高清级像素|高像素自拍手机","后置f/2.0+f/1.8，前置f/2.0","167.5x81.5x10.5mm","216g","虚拟按键"
"4","Moto Z3（全网通）",467,320,"￥3499|￥3999","","ZUI 4.0（基于Android 8.1）","高通 骁龙835|手机性能排行","星钻黑|查看外观","侧面指纹识别","电容屏，多点触控","6.01英寸|需双手打字|更多6.01英寸手机＞","Super AMOLED","2160x1080像素|1080P高清（击败|98.2%|手机）","402ppi","77.86%|（击败|97.07%|手机）","第三代康宁大猩猩玻璃","八核","6GB|游戏运行良好","128GB|2.6万张照片|1.1万首歌曲","3000mAh|小电池","快速快充","双卡|，|Nano SIM卡","USB Type-C接口","三摄像头（后双）","双1200万像素|高清级像素|高清像素手机","800万像素|普通级像素|高像素自拍手机","后置f/2.0+f/2.0，前置f/2.0","156.5x76.5x6.75mm","155g","虚拟按键"
"5","OPPO R15（4GB RAM/全网通）",2216,490,"￥2699|￥2399","","ColorOS 5.0（基于Android 8.1）","联发科 Helio P60（MT6771）|手机性能排行","热力红，星空紫，雪盈白，幻色粉|查看外观","后置指纹识别","电容屏，多点触控","6.28英寸|需双手打字|更多6.28英寸手机＞","OLED","2280x1080像素|1080P高清（击败|98.2%|手机）","402ppi","90%|（击败|99.37%|手机）","","八核","4GB|游戏运行一般","128GB|2.6万张照片|1.1万首歌曲","3450mAh|大电池|大电池手机","","双卡|，|Nano SIM卡","3.5mm耳机接口|USB接口","三摄像头（后双）","1600万像素+500万像素|高清级像素|样张秀|，|高清像素手机","2000万像素|高清级像素|高像素自拍手机","后置f/1.7+f/2.2，前置f/2.0","155.1x75.2x7.4mm","175g","虚拟按键"
"6","OPPO R15梦镜版（梦境红/全网通）",2979,480,"￥2999","","ColorOS 5.0（基于Android 8.1）","高通 骁龙660|手机性能排行","梦境红|查看外观","后置指纹识别","电容屏，多点触控","6.28英寸|需双手打字|更多6.28英寸手机＞","OLED","2280x1080像素|1080P高清（击败|98.2%|手机）","402ppi","90%|（击败|99.37%|手机）","","八核","6GB|游戏运行良好","128GB|2.6万张照片|1.1万首歌曲","3400mAh|大电池|大电池手机","","双卡|，|Nano SIM卡","3.5mm耳机接口|USB接口","三摄像头（后双）","2000万像素+1600万像素|高清级像素|样张秀|，|高清像素手机","2000万像素|高清级像素|高像素自拍手机","后置f/1.7+f/1.7，前置f/2.0","155.3x75x7.5mm","175g","虚拟按键"
"7","OPPO R15星云特别版（全网通）",2523,448,"￥3199|￥2699","","ColorOS 5.0（基于Android 8.1）","联发科 Helio P60（MT6771）|手机性能排行","星云渐变色|查看外观","后置指纹识别","电容屏，多点触控","6.28英寸|需双手打字|更多6.28英寸手机＞","OLED","2280x1080像素|1080P高清（击败|98.2%|手机）","402ppi","90%|（击败|99.37%|手机）","","八核","6GB|游戏运行良好","128GB|2.6万张照片|1.1万首歌曲","3400mAh|大电池|大电池手机","","双卡|，|Nano SIM卡","3.5mm耳机接口|USB接口","三摄像头（后双）","1600万像素+500万像素|高清级像素|高清像素手机","2000万像素|高清级像素|高像素自拍手机","后置f/1.7+f/1.7，前置f/2.0","155.3x75x7.5mm","175g","虚拟按键"
"8","OPPO R17（6GB RAM/全网通）",855,308,"￥3199|￥2820","","ColorOS 5.2（基于Android 8.1）","高通 骁龙670|手机性能排行","流光蓝，霓光紫，雾光金|查看外观","屏幕指纹识别","电容屏，多点触控","6.4英寸|需双手打字|更多6.4英寸手机＞","AMOLED","2340x1080像素|1080P高清（击败|98.2%|手机）","402ppi","91.5%|（击败|99.71%|手机）","第六代康宁大猩猩玻璃","八核","6GB|游戏运行良好","128GB|2.6万张照片|1.1万首歌曲","3500mAh|大电池|大电池手机","快速快充","双卡|，|Nano SIM卡","3.5mm耳机接口|USB Type-C接口","三摄像头（后双）","1600万像素+500万像素|高清级像素|高清像素手机","2500万像素|高清级像素|高像素自拍手机","后置f/1.7+f/2.4，前置f/2.0","157.5x74.9x7.5mm","182g",""
"9","OPPO R17（8GB RAM/全网通）",1075,299,"￥2999|￥3498","水滴屏（全面屏）","Android 8.1","高通 骁龙670|手机性能排行","流光蓝，霓光紫，雾光金|查看外观","屏幕指纹识别","电容屏，多点触控","6.4英寸|需双手打字|更多6.4英寸手机＞","AMOLED","2340x1080像素|1080P高清（击败|98.2%|手机）","402ppi","91.5%|水滴屏（全面屏）（击败|99.71%|手机）","第六代康宁大猩猩玻璃","八核","8GB|游戏运行流畅","128GB|2.6万张照片|1.1万首歌曲","3500mAh|大电池|大电池手机","快速快充","双卡|，|Nano SIM卡","3.5mm耳机接口|USB Type-C接口","三摄像头（后双）","1600万像素+500万像素|高清级像素|样张秀|，|高清像素手机","2500万像素|高清级像素|高像素自拍手机","后置f/1.7+f/2.4，前置f/2.0","157.5x74.9x7.5mm","182g","虚拟按键"
"10","OPPO R17（8GB RAM/移动全网通）",10,323,"￥2799|￥3499","","ColorOS 5.2（基于Android 8.1）","高通 骁龙670|手机性能排行","流光蓝，霓光紫，雾光金|查看外观","屏幕指纹识别","电容屏，多点触控","6.4英寸|需双手打字|更多6.4英寸手机＞","AMOLED","2340x1080像素|1080P高清（击败|98.2%|手机）","402ppi","91.5%|（击败|99.71%|手机）","第六代康宁大猩猩玻璃","八核","8GB|游戏运行流畅","128GB|2.6万张照片|1.1万首歌曲","3500mAh（30分钟充电54%）|大电池|大电池手机","快速快充|续航测试","双卡|，|Nano SIM卡","3.5mm耳机接口|USB Type-C接口","三摄像头（后双）","1600万像素+500万像素|高清级像素|高清像素手机","2500万像素|高清级像素|高像素自拍手机","后置f/1.7+f/2.4，前置f/2.0","157.5x74.9x7.5mm","182g",""
